similarity,corruption,rank,topK,iter,lambda,weight_u_i,metric,NDCG,Recall@5,tok,weight_i,weight_u,Recall@10,Recall@15,Recall@20,Recall@50
Cosine,0.2,50,,200,1e-05,,,"[0.071, 0.0071]","[0.0523, 0.0059]",5.0,0.0,1.0,,,,
Cosine,0.2,50,,200,1e-05,,,"[0.0743, 0.0072]","[0.0527, 0.0057]",5.0,0.1,0.9,,,,
Cosine,0.2,50,,200,1e-05,,,"[0.0741, 0.0072]","[0.0524, 0.0057]",5.0,0.2,0.8,,,,
Cosine,0.2,50,,200,1e-05,,,"[0.0755, 0.007]","[0.0533, 0.0053]",5.0,0.3,0.7,,,,
Cosine,0.2,50,,200,1e-05,,,"[0.073, 0.0069]","[0.051, 0.0053]",5.0,0.4,0.6,,,,
Cosine,0.2,50,,200,1e-05,,,"[0.0736, 0.007]","[0.052, 0.0055]",5.0,0.5,0.5,,,,
Cosine,0.2,50,,200,1e-05,,,"[0.0731, 0.0068]","[0.0516, 0.0053]",5.0,0.6,0.4,,,,
Cosine,0.2,50,,200,1e-05,,,"[0.0776, 0.007]","[0.0533, 0.0054]",5.0,0.7,0.3,,,,
Cosine,0.2,50,,200,1e-05,,,"[0.0731, 0.0068]","[0.0501, 0.0052]",5.0,0.8,0.2,,,,
Cosine,0.2,50,,200,1e-05,,,"[0.076, 0.0071]","[0.0529, 0.0057]",5.0,0.9,0.1,,,,
Cosine,0.2,50,,200,1e-05,,,"[0.0741, 0.0069]","[0.051, 0.0053]",5.0,1.0,0.0,,,,
Cosine,0.2,50,,200,1e-05,,,"[0.1022, 0.0084]",,10.0,0.0,1.0,"[0.0965, 0.0087]",,,
Cosine,0.2,50,,200,1e-05,,,"[0.1087, 0.0085]",,10.0,0.1,0.9,"[0.1002, 0.0086]",,,
Cosine,0.2,50,,200,1e-05,,,"[0.1096, 0.0084]",,10.0,0.2,0.8,"[0.1, 0.0084]",,,
Cosine,0.2,50,,200,1e-05,,,"[0.1099, 0.0084]",,10.0,0.3,0.7,"[0.0986, 0.0082]",,,
Cosine,0.2,50,,200,1e-05,,,"[0.1119, 0.0084]",,10.0,0.4,0.6,"[0.0996, 0.0082]",,,
Cosine,0.2,50,,200,1e-05,,,"[0.1097, 0.0085]",,10.0,0.5,0.5,"[0.0975, 0.0081]",,,
Cosine,0.2,50,,200,1e-05,,,"[0.1078, 0.0082]",,10.0,0.6,0.4,"[0.0974, 0.008]",,,
Cosine,0.2,50,,200,1e-05,,,"[0.1064, 0.0081]",,10.0,0.7,0.3,"[0.0941, 0.0079]",,,
Cosine,0.2,50,,200,1e-05,,,"[0.1051, 0.008]",,10.0,0.8,0.2,"[0.0916, 0.0075]",,,
Cosine,0.2,50,,200,1e-05,,,"[0.1048, 0.0081]",,10.0,0.9,0.1,"[0.0918, 0.0077]",,,
Cosine,0.2,50,,200,1e-05,,,"[0.1062, 0.0081]",,10.0,1.0,0.0,"[0.0916, 0.0077]",,,
Cosine,0.2,50,,200,1e-05,,,"[0.1244, 0.009]",,15.0,0.0,1.0,,"[0.1345, 0.0106]",,
Cosine,0.2,50,,200,1e-05,,,"[0.1335, 0.0092]",,15.0,0.1,0.9,,"[0.1407, 0.0104]",,
Cosine,0.2,50,,200,1e-05,,,"[0.1323, 0.0093]",,15.0,0.2,0.8,,"[0.1377, 0.0103]",,
Cosine,0.2,50,,200,1e-05,,,"[0.1328, 0.0092]",,15.0,0.3,0.7,,"[0.1388, 0.0105]",,
Cosine,0.2,50,,200,1e-05,,,"[0.1314, 0.009]",,15.0,0.4,0.6,,"[0.1366, 0.01]",,
Cosine,0.2,50,,200,1e-05,,,"[0.1314, 0.0089]",,15.0,0.5,0.5,,"[0.1355, 0.01]",,
Cosine,0.2,50,,200,1e-05,,,"[0.1324, 0.009]",,15.0,0.6,0.4,,"[0.1356, 0.0099]",,
Cosine,0.2,50,,200,1e-05,,,"[0.1363, 0.009]",,15.0,0.7,0.3,,"[0.1382, 0.0099]",,
Cosine,0.2,50,,200,1e-05,,,"[0.1353, 0.0092]",,15.0,0.8,0.2,,"[0.1348, 0.0098]",,
Cosine,0.2,50,,200,1e-05,,,"[0.1306, 0.0089]",,15.0,0.9,0.1,,"[0.1305, 0.0096]",,
Cosine,0.2,50,,200,1e-05,,,"[0.1263, 0.0088]",,15.0,1.0,0.0,,"[0.1253, 0.0094]",,
Cosine,0.2,50,,200,1e-05,,,"[0.1464, 0.0095]",,20.0,0.0,1.0,,,"[0.1727, 0.0119]",
Cosine,0.2,50,,200,1e-05,,,"[0.1545, 0.0099]",,20.0,0.1,0.9,,,"[0.1804, 0.0124]",
Cosine,0.2,50,,200,1e-05,,,"[0.1545, 0.0098]",,20.0,0.2,0.8,,,"[0.178, 0.012]",
Cosine,0.2,50,,200,1e-05,,,"[0.1532, 0.0097]",,20.0,0.3,0.7,,,"[0.1751, 0.0117]",
Cosine,0.2,50,,200,1e-05,,,"[0.1563, 0.0097]",,20.0,0.4,0.6,,,"[0.1776, 0.0118]",
Cosine,0.2,50,,200,1e-05,,,"[0.1548, 0.0097]",,20.0,0.5,0.5,,,"[0.1732, 0.0116]",
