similarity,corruption,rank,topK,iter,lambda,weight_u_i,metric,NDCG@K,Recall@50,weight_i,weight_u,Recall@100
Cosine,0.2,50,50,200,1e-05,,,"[0.4818, 0.0144]","[0.3313, 0.0145]",0.0,1.0,
Cosine,0.2,50,50,200,1e-05,,,"[0.4773, 0.0144]","[0.3382, 0.0148]",0.1,0.9,
Cosine,0.2,50,50,200,1e-05,,,"[0.4676, 0.0146]","[0.3295, 0.0148]",0.2,0.8,
Cosine,0.2,50,50,200,1e-05,,,"[0.465, 0.0144]","[0.3253, 0.0148]",0.3,0.7,
Cosine,0.2,50,50,200,1e-05,,,"[0.4627, 0.0144]","[0.3152, 0.0143]",0.4,0.6,
Cosine,0.2,50,50,200,1e-05,,,"[0.4561, 0.0144]","[0.3021, 0.0138]",0.5,0.5,
Cosine,0.2,50,50,200,1e-05,,,"[0.4546, 0.0146]","[0.291, 0.0135]",0.6,0.4,
Cosine,0.2,50,50,200,1e-05,,,"[0.4531, 0.0147]","[0.2834, 0.0132]",0.7,0.3,
Cosine,0.2,50,50,200,1e-05,,,"[0.4485, 0.015]","[0.2681, 0.0129]",0.8,0.2,
Cosine,0.2,50,50,200,1e-05,,,"[0.4462, 0.0153]","[0.2587, 0.0125]",0.9,0.1,
Cosine,0.2,50,50,200,1e-05,,,"[0.4467, 0.0158]","[0.2472, 0.0124]",1.0,0.0,
Cosine,0.2,50,100,200,1e-05,,,"[0.493, 0.0128]",,0.0,1.0,"[0.5012, 0.0164]"
Cosine,0.2,50,100,200,1e-05,,,"[0.4868, 0.013]",,0.1,0.9,"[0.5055, 0.0171]"
Cosine,0.2,50,100,200,1e-05,,,"[0.4855, 0.0129]",,0.2,0.8,"[0.4993, 0.0171]"
Cosine,0.2,50,100,200,1e-05,,,"[0.4759, 0.013]",,0.3,0.7,"[0.4837, 0.0167]"
Cosine,0.2,50,100,200,1e-05,,,"[0.4735, 0.0129]",,0.4,0.6,"[0.4682, 0.0164]"
Cosine,0.2,50,100,200,1e-05,,,"[0.4678, 0.0132]",,0.5,0.5,"[0.4471, 0.016]"
Cosine,0.2,50,100,200,1e-05,,,"[0.4636, 0.0134]",,0.6,0.4,"[0.4338, 0.0159]"
Cosine,0.2,50,100,200,1e-05,,,"[0.459, 0.0134]",,0.7,0.3,"[0.4257, 0.0157]"
Cosine,0.2,50,100,200,1e-05,,,"[0.4555, 0.014]",,0.8,0.2,"[0.3913, 0.0151]"
Cosine,0.2,50,100,200,1e-05,,,"[0.4468, 0.0143]",,0.9,0.1,"[0.3648, 0.0145]"
Cosine,0.2,50,100,200,1e-05,,,"[0.4491, 0.0147]",,1.0,0.0,"[0.3541, 0.0143]"
Cosine,0.3,50,50,200,1e-05,,,"[0.4813, 0.0146]","[0.3315, 0.0145]",0.0,1.0,
Cosine,0.3,50,50,200,1e-05,,,"[0.4763, 0.0146]","[0.3356, 0.0148]",0.1,0.9,
Cosine,0.3,50,50,200,1e-05,,,"[0.4706, 0.0145]","[0.3315, 0.0148]",0.2,0.8,
Cosine,0.3,50,50,200,1e-05,,,"[0.4693, 0.0146]","[0.3257, 0.0146]",0.3,0.7,
Cosine,0.3,50,50,200,1e-05,,,"[0.4682, 0.0147]","[0.3106, 0.0142]",0.4,0.6,
Cosine,0.3,50,50,200,1e-05,,,"[0.4594, 0.0148]","[0.3016, 0.014]",0.5,0.5,
Cosine,0.3,50,50,200,1e-05,,,"[0.4581, 0.0148]","[0.2965, 0.0136]",0.6,0.4,
Cosine,0.3,50,50,200,1e-05,,,"[0.4543, 0.015]","[0.2845, 0.0131]",0.7,0.3,
Cosine,0.3,50,50,200,1e-05,,,"[0.4455, 0.0151]","[0.2749, 0.0131]",0.8,0.2,
Cosine,0.3,50,50,200,1e-05,,,"[0.4514, 0.0151]","[0.2639, 0.0127]",0.9,0.1,
Cosine,0.3,50,50,200,1e-05,,,"[0.4422, 0.0157]","[0.2523, 0.0124]",1.0,0.0,
Cosine,0.3,50,100,200,1e-05,,,"[0.4903, 0.0129]",,0.0,1.0,"[0.4971, 0.0162]"
Cosine,0.3,50,100,200,1e-05,,,"[0.4899, 0.0131]",,0.1,0.9,"[0.5037, 0.0171]"
